대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,신구대장구분코드,신구대장구분코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),주용도코드,주용도코드명,기타용도,세대수(세대),가구수(가구),주건축물수,부속건축물수,부속건축물면적(㎡),총주차수,옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자
경기도 수원시 장안구 정자동 947번지,41111,13000,0,0947,0000,10841100286386,1,일반,1,총괄표제부,1,신대장,,수원 SK 아트리움,,,,1,,,0,0,0,39000,5622.6,14.42,14997.84,8528.19,21.87,05000,문화및집회시설,"문화및집회시설, 노유자시설, 근린생활시설",0,0,2,0,0,270,0,0,0,0,150,4692.84,120,0,20120130,20120409,20131025,2012,3740194,주택건축과,1101,1101,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 정자동 950번지,41111,13000,0,0950,0000,10841100470311,2,집합,1,총괄표제부,1,신대장,경기도 수원시 장안구 대평로 27 (정자동),화서역 파크 푸르지오,,,,0,411113176005,13001,0,27,,61714,17061.06,27.645364,444235.3188,308172.8622,499.35648,02000,공동주택,"공동주택(아파트),업무시설(오피스텔),근린생활시설,판매시설",2355,0,16,11,118671.5503,3496,0,0,0,0,3470,117392.617,5,0,20180226,20180424,20210823,2018,3740373,공동주택관리과,2101,2101,538,,0,0,,0,,0,20250325
경기도 수원시 장안구 정자동 961번지,41111,13000,0,0961,0000,1000000000000002464306,2,집합,1,총괄표제부,1,신대장,경기도 수원시 장안구 수성로157번길 60 (정자동),화서역 푸르지오 브리시엘,,,,0,411114328193,13001,0,60,0,31069,20540.4768,66.112449,223431.3717,155261.7751,499.73212,02000,공동주택,"공동주택(아파트),업무시설(오피스텔),판매시설",665,0,6,8,73943.1525,1507,0,0,0,0,1507,59718.9853,0,0,20191118,20200515,20230926,2019,3740403,공동주택과,2101,2101,515,1+,0,0,3,0,,0,20240119
경기도 수원시 장안구 정자동 964번지,41111,13000,0,0964,0000,1000000000000007172972,2,집합,1,총괄표제부,1,신대장,경기도 수원시 장안구 장안로 271 (정자동),북수원자이 렉스비아,,,,1,411113176011,13002,0,271,0,103833,15569.33,14.99,372760.86,237326.28,228.57,02000,공동주택,공동주택(아파트),2607,0,24,12,134737.24,3796,0,0,0,0,3721,124659.16,0,0,20150522,20210226,20260303,,,,,,54,1+,93.9,0,4,53.98,,0,20260327
경기도 수원시 장안구 이목동 20번지,41111,13100,0,0020,0000,1084137,1,일반,1,총괄표제부,1,신대장,경기도 수원시 장안구 장안로458번길 174 (이목동),,,,,0,411114322277,13101,0,174,,2007,205.11,10.22,205.11,205.11,10.22,06000,종교시설,종교시설,0,0,3,0,0,4,0,0,0,0,0,0,4,46,20060317,20060324,20061208,2006,3750028,건축과,1101,1101,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 이목동 23-8번지,41111,13100,0,0023,0008,1084151,1,일반,1,총괄표제부,1,신대장,경기도 수원시 장안구 장안로458번길 138 (이목동),천주교마리아의아들수도회,,,,2,411114322277,13101,0,138,0,3669,730.64,19.913872,4097.83,2770.13,75.500953,06000,종교시설,종교시설,0,0,3,0,0,28,0,0,0,0,0,0,28,232,20021231,20030324,20031204,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 이목동 37-1번지,41111,13100,0,0037,0001,10841406,1,일반,1,총괄표제부,1,신대장,경기도 수원시 장안구 장안로458번길 120 (이목동),(주)이루다,,,,0,411114322277,13101,0,120,0,3089,617.23,19.98,2291.79,2291.79,74.19,10000,교육연구시설,교육연구및복지시설,0,0,3,0,0,16,16,184,0,0,0,0,0,0,20040621,20040625,20041218,2004,3750028,건축과,1101,1101,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 이목동 105-7번지,41111,13100,0,0105,0007,10841100174495,1,일반,1,총괄표제부,1,신대장,경기도 수원시 장안구 장안로496번길 93-1 (이목동),,,,,0,411114322279,13101,0,93,1,1254,242.47,19.34,337,337,26.87,01000,단독주택,"단독주택, 자동차관련시설",0,0,2,0,0,8,0,0,0,0,0,0,8,0,20050512,20050519,20050922,2005,3750028,건축과,1101,1101,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 이목동 130번지,41111,13100,0,0130,0000,10841100214373,1,일반,1,총괄표제부,1,신대장,경기도 수원시 장안구 장안로 517 (이목동),서광학원,,,,4,411113176011,13103,0,517,0,6404,1109.28,17.32,6518.95,6403.03,99.98,10000,교육연구시설,"교실,기숙사",0,0,2,1,11.75,33,0,0,0,0,0,0,33,379.5,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 이목동 165번지,41111,13100,0,0165,0000,1084119,1,일반,1,총괄표제부,1,신대장,경기도 수원시 장안구 장안로 475-12 (이목동),,,,,0,411113176011,13103,0,475,12,3721,626.91,16.85,626.91,134.49,3.61,04000,제2종근린생활시설,제2종근린생활시설,0,0,2,0,0,5,0,0,0,0,0,0,5,57.5,19861203,,19861223,,,,,,0,,0,0,,0,,0,20220909
