apt_id,apt_name,lon,lat
수원호매실휴먼시아4단지_126.9463,수원호매실휴먼시아4단지,126.9463,37.2753
광교한양수자인_127.0484,광교한양수자인,127.0484,37.3043
호매실휴먼시아7단지_126.9426,호매실휴먼시아7단지,126.9426,37.2697
수원호매실휴먼시아8단지_126.9457,수원호매실휴먼시아8단지,126.9457,37.272
권선자이e편한세상_127.0258,권선자이e편한세상,127.0258,37.255
광교호수마을_호반써밋_127.0724,광교호수마을 호반써밋,127.0724,37.2915
광교해모로_127.0524,광교해모로,127.0524,37.3057
광교휴먼시아20단지_127.0676,광교휴먼시아20단지,127.0676,37.276
아이파크시티3단지_127.0255,아이파크시티3단지,127.0255,37.2416
아이파크시티1단지_127.0262,아이파크시티1단지,127.0262,37.2452
호매실역서희스타힐스_126.9392,호매실역서희스타힐스,126.9392,37.2714
광교휴먼시아32단지_127.0655,광교휴먼시아32단지,127.0655,37.2946
호매실휴먼시아16단지_126.955,호매실휴먼시아16단지,126.955,37.2595
호매실경남아너스빌_126.952,호매실경남아너스빌,126.952,37.2601
광교2차_e편한세상_127.0469,광교2차 e편한세상,127.0469,37.3065
호반가든하임_127.0504,호반가든하임,127.0504,37.3057
광교호반베르디움_127.0447,광교호반베르디움,127.0447,37.3066
아이파크시티2단지_127.0298,아이파크시티2단지,127.0298,37.2453
아이파크시티4단지_127.0285,아이파크시티4단지,127.0285,37.2433
래미안광교_127.0604,래미안광교,127.0604,37.2911
오드카운티_127.0586,오드카운티,127.0586,37.2919
장안힐스테이트_126.9844,장안힐스테이트,126.9844,37.3137
호수마을광교상록_127.073,호수마을광교상록,127.073,37.2934
광교레이크파크_한양수자인_127.0723,광교레이크파크 한양수자인,127.0723,37.2811
R타워_127.0421,R타워,127.0421,37.2757
자연앤힐스테이트_127.0493,자연앤힐스테이트,127.0493,37.2893
자연앤자이3단지_127.0543,자연앤자이3단지,127.0543,37.2853
자연앤자이2단지_127.05,자연앤자이2단지,127.05,37.2863
자연앤자이1단지_127.0504,자연앤자이1단지,127.0504,37.2858
e편한세상광교_127.0524,e편한세상광교,127.0524,37.2911
인계푸르지오_127.0352,인계푸르지오,127.0352,37.277
에일린의_뜰_127.0602,에일린의 뜰,127.0602,37.2766
서수원엠코타운르본느_126.9697,서수원엠코타운르본느,126.9697,37.2776
"수원장안STX칸(1단지,2단지)_126.9833","수원장안STX칸(1단지,2단지)",126.9833,37.3144
신일유토빌_127.0296,신일유토빌,127.0296,37.2404
SK_SKY_VIEW_126.9836,SK SKY VIEW,126.9836,37.3094
청명센트레빌_127.0753,청명센트레빌,127.0753,37.2654
내안애애플_127.0369,내안애애플,127.0369,37.2792
광교센트럴타운60단지_127.0579,광교센트럴타운60단지,127.0579,37.2892
광교센트럴타운62단지_127.0625,광교센트럴타운62단지,127.0625,37.2898
래미안_영통마크원_1단지_127.0429,래미안 영통마크원 1단지,127.0429,37.2465
래미안_영통마크원_2단지_127.0464,래미안 영통마크원 2단지,127.0464,37.2478
한양수자인_에듀파크_127.0582,한양수자인 에듀파크,127.0582,37.2411
광교마을40단지_127.0813,광교마을40단지,127.0813,37.2953
광교모아엘가레이크뷰_127.0698,광교모아엘가레이크뷰,127.0698,37.2804
광교호반마을21단지_127.0682,광교호반마을21단지,127.0682,37.2783
서수원_레이크_푸르지오_1단지_126.9542,서수원 레이크 푸르지오 1단지,126.9542,37.2999
서수원_레이크_푸르지오_2단지_126.9522,서수원 레이크 푸르지오 2단지,126.9522,37.2993
