대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,신구대장구분코드,신구대장구분코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),주용도코드,주용도코드명,기타용도,세대수(세대),가구수(가구),주건축물수,부속건축물수,부속건축물면적(㎡),총주차수,옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자
경기도 수원시 권선구 서둔동 365번지,41113,13100,0,0365,0000,10841100349781,1,일반,1,총괄표제부,1,신대장,,,,,,1,,,0,,,6720,609.62,9.07,591.52,591.52,8.8,27000,관광휴게시설,관광휴게시설,0,0,2,0,0,5,0,0,0,0,0,0,5,57.5,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 서둔동 371번지,41113,13100,0,0371,0000,1084180815,2,집합,1,총괄표제부,1,신대장,경기도 수원시 권선구 세화로168번길 15 (서둔동),센트라우스,,,,0,411134325365,13101,0,15,0,49574,9977.5382,20.13,143716.565,113519.8174,228.99,02000,공동주택,공동주택외2,1094,0,18,11,30586.5876,1123,0,0,0,0,721,29501.8776,402,4804,20030909,20031017,20051124,2003,3760030,건축과,2101,2101,0,,0,0,,0,,0,20231011
경기도 수원시 권선구 서둔동 374번지,41113,13100,0,0374,0000,1084180824,2,집합,1,총괄표제부,1,신대장,경기도 수원시 권선구 상탑로 121 (서둔동),희성연인아파트,,,,0,411133175022,13101,0,121,,4903,1238.9538,25.27,14561.6334,11054.3934,225.46,02000,공동주택,공동주택외2,105,0,2,1,196,107,0,0,0,0,90,3338.08,17,215.5,20030618,20040323,20060127,2003,,,2101,2101,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 서둔동 375번지,41113,13100,0,0375,0000,10841100206765,2,집합,1,총괄표제부,1,신대장,경기도 수원시 권선구 서둔로 270-19 (서둔동),서수원 울트라참누리파크,,,,0,411133175024,13102,0,270,19,6027.2,1804.8716,29.95,17878.5995,13990.42,232.12,02000,공동주택,아파트,119,0,3,4,4370.89,122,0,0,0,0,122,3888.183,0,0,20041103,20061101,20090223,2004,3740058,건축과,2101,2101,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 서둔동 377번지,41113,13100,0,0377,0000,10841100206607,2,집합,1,총괄표제부,1,신대장,경기도 수원시 권선구 서둔로 270-6 (서둔동),서수원 울트라참누리파크,,,,0,411133175024,13102,0,270,6,6875.1,1880.6355,27.35,19780.9194,15511.17,225.61,02000,공동주택,,132,0,4,4,4314.47,138,0,0,0,0,134,4076.104,4,0,20061106,20061101,20090226,2005,3740058,건축과,2101,2101,0,,0,0,,0,,0,20250812
경기도 수원시 권선구 서둔동 388번지,41113,13100,0,0388,0000,1000000000000004134698,1,일반,1,총괄표제부,1,신대장,경기도 수원시 권선구 세화로 124 (서둔동),,,,,0,411133175032,13103,0,124,,20525.4,8423.86,41.04,4356.73,3017.73,14.7,04000,제2종근린생활시설,"제2종근린생활시설, 운동시설",0,0,2,0,0,679,0,0,0,0,679,1339,0,0,20220607,20230530,20240801,2022,3740282,건축과,1102,1102,0,,0,0,,0,,0,20241022
경기도 수원시 권선구 서둔동 389번지,41113,13100,0,0389,0000,1000000000000003990694,1,일반,1,총괄표제부,1,신대장,,9블럭 웨딩컨벤션동,,,,0,,,,,,12767,5992.84,46.94,7973.63,7973.63,62.46,05000,문화및집회시설,"(집회장-예식장), 제1,2종 근린생활시설",0,0,2,0,0,268,0,0,0,0,268,5156.02,0,0,20220210,20230428,20240626,2022,3740282,건축과,1102,1102,0,,0,0,,0,,0,20240816
경기도 수원시 권선구 서둔동 418번지,41113,13100,0,0418,0000,10841100468051,2,집합,1,총괄표제부,1,신대장,경기도 수원시 권선구 세화로154번길 7-10 (서둔동),수원역 한라비발디 퍼스트,,,,0,411134859721,13101,0,7,10,5932.6,2700.0191,45.58,47409.0315,29611.4341,499.93,02000,공동주택,공동주택(아파트) 외 2,288,0,3,0,0,526,118,1896.8094,0,0,408,15057.3888,0,0,20190110,20190225,20210617,2019,3740282,건축과,1101,1101,261,,0,67.9,,0,,0,20220909
경기도 수원시 권선구 서둔동 458번지,41113,13100,0,0458,0000,10841100485171,1,일반,1,총괄표제부,1,신대장,경기도 수원시 권선구 세화로134번길 31 (서둔동),KCC몰,,,,1,411134857716,13101,0,31,,48730,16966.76,34.82,19383.08,17828.61,36.59,05000,문화및집회시설,문화및집회시설,0,0,3,0,0,435,0,0,0,0,0,0,426,0,20150511,20150528,20220525,2015,3740282,건축과,1101,1101,0,,0,0,,0,,0,20250210
경기도 수원시 권선구 서둔동 459번지,41113,13100,0,0459,0000,1000000000000001837992,2,집합,1,총괄표제부,1,신대장,경기도 수원시 권선구 금호로 285 (서둔동),힐스테이트 수원 테라스,,,,0,411133175012,13105,0,285,0,27489.8,10652.2773,38.75,47400.1805,24695.9002,89.84,02000,공동주택,공동주택(연립주택),257,0,14,12,18160.435,382,0,0,0,0,382,15889.7563,0,0,,,,,,,,,22,1+,112.9,0,4,50.87,,0,20230525
